,,,,,,,,市盈率,,,,发行数量(万股),,,,,,,,募集资金(亿元),,,发行费用(万元),,,,,,,,,,网下配售情况,,,,,,,,,,,网上发行情况,,,,,,,,,,,,,,,,,,,,,,
代码,名称,申购代码,招股日期,网上发行日期,上市日期,上市板,发行价格,发行市盈率,行业PE(披露值),"行业PE(近1月,静态)","行业PE(近1月,TTM)",总计,新股发行数量,老股转让数量,网下配售数量,网上发行数量,回拨比例(%),网下申购上限,网上发行申购上限(股),预计募资(上市公司),募资总额(上市公司),募资净额(上市公司),上市公司发行费用,上市公司发行费率(%),老股转让费用,转让费率(%),发行费用合计,发行费率(%),承销及保荐费,审计及验资费,法律费用,信息披露费,投资者数量(家),配售对象数量(个),询价申购数量(万股),询价认购倍数,有效报价配售对象家数,有效报价投资者家数,有效申购配售对象家数,有效申购数量(万股),有效申购资金(亿元),有效申购获配比例(%),认购倍数,有效申购户数,有效申购股数(万股),中签率(%),认购倍数,发行方式,承销方式,主承销商,审计机构,资产评估机构,律师事务所,发行公告日期,网下发行起始日期,网下发行截止日期,网上发行冻结资金(亿元),网下配售冻结资金(亿元),承销商认购余股(万股),面值,省份,证监会行业(2012版),证监会行业,Wind行业,证券类型,交易所
002965.SZ,祥鑫科技,002965,2019-09-30,2019-10-16,,中小企业板,19.89,21.28,22.65,22.68,21.97,"3,768.00","3,768.00",0.00,"2,260.80","1,507.20",,240.00,"15,000.00",7.49,7.49,6.92,"5,766.73",7.69,0.00,0.00,"5,766.73",7.69,"4,430.88",481.12,283.02,537.74,3550,6053,"1,452,220.00",642.35,5962,5962,,,,,,,,,,"网下询价,上网定价",余额包销,国信证券股份有限公司,天衡会计师事务所(特殊普通合伙),北京天健兴业资产评估有限公司,北京市中伦律师事务所,2019-10-15,2019-10-16,2019-10-16,,,,1.00,广东省,金属制品业,制造业-金属、非金属-金属制品业,可选消费--汽车与汽车零部件--汽车零配件--机动车零配件与设备,A股,深圳
300796.SZ,贝斯美,300796,2019-09-30,2019-11-05,,创业板,14.25,22.99,17.15,17.20,18.80,"3,030.00","3,030.00",0.00,"1,818.00","1,212.00",,400.00,"12,000.00",4.32,4.32,3.93,"3,879.74",8.99,0.00,0.00,"3,879.74",8.99,"2,390.34",801.89,188.68,452.83,3162,6286,"2,499,410.00","1,374.81",6187,6187,,,,,,,,,,"网下询价,上网定价",余额包销,中信建投证券股份有限公司,容诚会计师事务所(特殊普通合伙),中水致远资产评估有限公司,北京金诚同达律师事务所,2019-11-04,2019-11-05,2019-11-05,,,,1.00,浙江省,化学原料及化学制品制造业,,材料--材料Ⅱ--化工--化肥与农用化工,A股,深圳
603489.SH,八方股份,732489,2019-09-24,2019-10-30,,主板,43.44,22.99,20.68,20.66,19.68,"3,000.00","3,000.00",0.00,"1,800.00","1,200.00",,130.00,"12,000.00",13.03,13.03,12.38,"6,561.98",5.04,0.00,0.00,"6,561.98",5.04,"4,917.74",906.60,221.70,485.85,2711,6468,"840,550.00",466.97,6409,6409,,,,,,,,,,"网下询价,上网定价",余额包销,申万宏源证券承销保荐有限责任公司,容诚会计师事务所(特殊普通合伙),中水致远资产评估有限公司,国浩律师事务所,2019-10-29,2019-10-30,2019-10-30,,,,1.00,江苏省,电气机械及器材制造业,,工业--资本货物--电气设备--电气部件与设备,A股,上海
300795.SZ,米奥兰特,300795,2019-09-23,2019-10-10,,创业板,14.27,22.99,24.83,24.80,25.24,"2,504.10","2,504.10",0.00,250.40,"2,253.70",50.00,400.00,"10,000.00",3.57,3.57,3.02,"5,502.53",15.40,0.00,0.00,"5,502.53",15.40,"3,356.00","1,280.00",333.00,476.00,3436,6641,"2,641,490.00","10,549.08",6626,6626,"6,605","2,627,290.00","3,749.14",0.01,"10,492.37","11,836,186","8,094,261.85",0.0278,"3,591.54","网下询价,上网定价",余额包销,国金证券股份有限公司,天健会计师事务所(特殊普通合伙),,上海市锦天城律师事务所,2019-10-09,2019-10-10,2019-10-10,"11,550.5117",,5.5065,1.00,浙江省,商务服务业,,工业--商业和专业服务--商业服务与用品--综合支持服务,A股,深圳
300793.SZ,佳禾智能,300793,2019-09-23,2019-10-08,,创业板,13.43,22.98,39.50,39.40,38.72,"4,168.00","4,168.00",0.00,416.80,"3,751.20",50.17,"1,000.00","16,000.00",5.60,5.60,5.08,"5,176.91",9.25,0.00,0.00,"5,176.91",9.25,"3,358.57",776.00,500.00,508.00,3601,6689,"6,448,460.00","15,471.35",6675,6675,"6,645","6,404,460.00","8,601.19",0.01,"15,365.79","11,674,249","10,675,391.75",0.0351,"2,845.86","网下询价,上网定价",余额包销,广发证券股份有限公司,天职国际会计师事务所(特殊普通合伙),沃克森(北京)国际资产评估有限公司,国浩律师事务所,2019-09-30,2019-10-08,2019-10-08,"14,337.0511",,7.5285,1.00,广东省,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳
002963.SZ,豪尔赛,002963,2019-09-17,2019-10-16,,中小企业板,23.66,20.83,19.35,19.33,18.51,"3,759.00","3,759.00",0.00,"2,255.40","1,503.60",,500.00,"15,000.00",8.89,8.89,8.01,"8,858.32",9.96,0.00,0.00,"8,858.32",9.96,"6,712.33",939.62,433.96,707.55,3446,6732,"3,261,270.00","1,445.98",6581,6581,,,,,,,,,,"网下询价,上网定价",余额包销,长江证券承销保荐有限公司,广东正中珠江会计师事务所(特殊普通合伙),北京中企华资产评估有限责任公司,北京市金杜律师事务所,2019-10-15,2019-10-16,2019-10-16,,,,1.00,北京,建筑装饰和其他建筑业,,工业--资本货物--建筑与工程Ⅲ--建筑与工程,A股,深圳
688368.SH,晶丰明源,787368,2019-09-17,2019-09-25,2019-10-14,科创板,56.68,46.90,54.19,53.78,50.93,"1,540.00","1,540.00",0.00,954.15,585.85,10.00,150.00,"4,000.00",8.73,8.73,7.88,"8,512.96",9.75,0.00,0.00,"8,512.96",9.75,"6,725.21",613.21,660.38,391.51,365,3953,"589,070.00",666.69,3547,3547,"3,546","528,600.00","2,996.10",0.17,598.25,"3,336,604","1,293,533.50",0.0453,"2,207.96","战略配售,网下询价,上网定价",余额包销,广发证券股份有限公司,立信会计师事务所(特殊普通合伙),上海申威资产评估有限公司,国浩律师事务所,2019-09-24,2019-09-25,2019-09-25,"7,331.7479",,1.5485,1.00,上海,软件和信息技术服务业,,信息技术--半导体与半导体生产设备--半导体产品与半导体设备--半导体产品,A股,上海
300792.SZ,壹网壹创,300792,2019-09-16,2019-09-18,2019-09-27,创业板,38.30,20.27,35.33,36.40,33.18,"2,000.00","2,000.00",0.00,,"2,000.00",0.00,,"20,000.00",7.66,7.66,6.89,"7,685.21",10.03,0.00,0.00,"7,685.21",10.03,"4,880.00","1,480.00",788.00,439.62,,,,,,,,,,,,"12,082,300","12,315,547.95",0.0162,"6,157.77",上网定价,余额包销,广发证券股份有限公司,中汇会计师事务所(特殊普通合伙),天源资产评估有限公司,北京市大成律师事务所,2019-09-17,,,"47,168.5486",,5.7750,1.00,浙江省,互联网和相关服务,,信息技术--软件与服务--互联网软件与服务Ⅲ--互联网软件与服务,A股,深圳
601077.SH,渝农商行,780077,2019-09-10,2019-10-14,,主板,7.36,9.26,6.68,6.68,6.48,"135,700.00","135,700.00",0.00,"36,675.60","99,024.40",42.97,800.00,"407,000.00",99.88,99.88,98.88,"9,981.00",1.00,0.00,0.00,"9,981.00",1.00,"7,491.00",872.00,526.00,653.00,2137,3713,"2,902,950.00",79.15,3149,3149,,"2,454,660.00","1,806.63",1.49,66.93,"12,605,720","28,200,412.70",0.3511,284.78,"网下询价,上网定价",余额包销,"中国国际金融股份有限公司,中信建投证券股份有限公司",普华永道中天会计师事务所(特殊普通合伙),北京天健兴业资产评估有限公司,北京市君合律师事务所,2019-10-11,2019-10-14,2019-10-14,"20,755.5037",,,1.00,重庆,货币金融服务,,金融--银行--商业银行--区域性银行,A股,上海
